NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1610-0027,10/31/2023 15:05,256.6,8.971,37.68,76.3
M1610-0027,3/30/2023 10:17,258.7,9.017,37.74,76.4
M1610-0027,4/27/2021 8:37,258.5,9.036,37.68,76.3
M1610-0027,9/17/2020 11:13,258.8,9.027,37.72,76.4
M1610-0027,12/10/2019 10:33,258.6,9.043,37.68,76.3
M1610-0027,11/5/2018 10:38,259.7,9.032,37.78,76.5
M1610-0027,5/23/2018 9:25,259.6,9.045,37.76,76.4
M1610-0027,9/15/2017 14:01,259.4,9.03,37.74,76.6
M1610-0027,10/24/2016 11:18,260.6,9.068,37.78,76.5
M1610-0027,10/18/2016 9:34,260.9,9.072,37.78,76.5
M1610-0030,5/23/2018 9:30,262,9.064,37.86,76.8
M1610-0030,9/15/2017 13:41,261.9,9.067,37.83,76.8
M1610-0030,10/18/2016 10:20,262.9,9.084,37.86,76.9
M1610-0049,10/31/2023 15:10,260.5,9.051,37.94,76.3
M1610-0049,3/30/2023 10:25,262.3,9.093,37.97,76.4
M1610-0049,4/27/2021 8:42,262.5,9.102,37.96,76.4
M1610-0049,9/17/2020 11:07,262.4,9.1,37.96,76.4
M1610-0049,3/24/2020 10:22,262.8,9.107,37.97,76.4
M1610-0049,12/10/2019 10:13,262.3,9.105,37.93,76.4
M1610-0049,11/5/2018 10:34,263.2,9.102,38.03,76.4
M1610-0049,5/23/2018 9:05,263.1,9.113,37.99,76.4
M1610-0049,9/15/2017 14:07,263.3,9.114,37.99,76.5
M1610-0049,4/20/2017 8:45,262.9,9.104,37.97,76.5
M1610-0049,10/24/2016 11:15,264.1,9.135,37.99,76.5
M1610-0049,10/13/2016 10:14,264.4,9.13,38.02,76.6
