NREL ID,Timestamp,Adjusted Pmp (W),Adjusted Isc (A),Voc (V),FF
M1610-0050,4/23/2024 10:06,252.7,8.841,37.79,76.2
M1610-0050,10/7/2022 11:20,250.5,8.802,37.52,76
M1610-0050,11/11/2021 10:48,251.5,8.79,37.77,76.3
M1610-0050,4/26/2021 13:17,253.8,8.839,37.84,76.4
M1610-0050,9/18/2020 13:06,250.6,8.8,37.69,76.1
M1610-0050,12/10/2019 11:40,253.6,8.834,37.86,76.3
M1610-0050,11/5/2018 11:20,254.2,8.838,37.92,76.4
M1610-0050,5/23/2018 10:02,254.8,8.861,37.91,76.4
M1610-0050,10/17/2017 14:20,254.5,8.857,37.92,76.3
M1610-0050,10/20/2016 13:40,259.3,8.9,38.08,77
M1610-0051,8/5/2020 10:25,252.1,8.853,37.76,75.9
M1610-0051,12/10/2019 11:31,254.6,8.881,37.87,76.2
M1610-0051,11/5/2018 10:52,255.7,8.905,37.84,76.4
M1610-0051,5/23/2018 10:11,256.8,8.903,37.97,76.5
M1610-0051,10/17/2017 14:32,256,8.914,37.96,76.2
M1610-0051,10/20/2016 13:37,261,8.946,38.14,77
M1610-0060,4/23/2024 9:44,252,8.893,37.72,75.6
M1610-0060,10/7/2022 11:10,251.4,8.862,37.48,75.9
M1610-0060,11/11/2021 10:36,252.7,8.86,37.74,76.1
M1610-0060,4/26/2021 13:32,254.2,8.902,37.76,76.1
M1610-0060,9/18/2020 12:52,252.6,8.87,37.7,76.1
M1610-0060,12/10/2019 11:24,254.9,8.904,37.84,76.2
M1610-0060,11/5/2018 11:35,255.8,8.909,37.87,76.3
M1610-0060,5/23/2018 10:15,256.7,8.921,37.94,76.4
M1610-0060,10/17/2017 14:25,257,8.928,37.94,76.4
M1610-0060,10/20/2016 13:43,259.8,8.968,38.09,76.6
M1610-0066,4/23/2024 9:51,252.9,8.83,37.76,76.4
M1610-0066,10/7/2022 11:13,252.7,8.737,37.81,76.6
M1610-0066,10/7/2022 11:13,251.2,8.748,37.54,76.6
M1610-0066,11/11/2021 10:43,252.1,8.796,37.8,76.4
M1610-0066,4/26/2021 13:38,253.7,8.833,37.81,76.5
M1610-0066,9/18/2020 13:01,252,8.809,37.73,76.3
M1610-0066,6/5/2018 11:22,256.7,8.883,37.93,76.7
M1610-0066,10/17/2017 13:17,257,8.876,37.95,76.9
M1610-0066,4/20/2017 8:37,256.5,8.865,37.94,76.8
M1610-0066,4/20/2017 8:25,257.1,8.864,38.01,76.9
M1610-0066,10/24/2016 10:59,258.3,8.898,37.99,76.9
M1610-0071,4/23/2024 10:01,248.2,8.879,37.73,74.6
M1610-0071,10/7/2022 11:17,252.6,8.854,37.49,76.3
M1610-0071,11/11/2021 10:25,254,8.871,37.75,76.4
M1610-0071,4/26/2021 13:22,255.7,8.889,37.8,76.6
M1610-0071,9/18/2020 13:10,253.6,8.866,37.71,76.4
M1610-0071,12/10/2019 11:36,255.8,8.882,37.84,76.6
M1610-0071,11/5/2018 11:24,256.8,8.892,37.94,76.7
M1610-0071,5/23/2018 9:42,256.9,8.916,37.92,76.5
M1610-0071,10/17/2017 14:11,257,8.914,37.91,76.6
M1610-0071,10/24/2016 10:34,259.8,8.965,38,76.8
M1610-0072,11/5/2018 11:10,256.1,8.871,37.94,76.6
M1610-0072,5/23/2018 10:06,256.9,8.888,37.99,76.6
M1610-0072,10/17/2017 14:38,256.8,8.886,37.97,76.6
M1610-0072,10/24/2016 10:30,260.2,8.954,38.02,77
M1610-0073,11/5/2018 11:40,254.4,8.859,37.73,76.6
M1610-0073,5/23/2018 9:36,255,8.869,37.77,76.6
M1610-0073,10/17/2017 14:03,255.2,8.871,37.77,76.7
M1610-0073,10/24/2016 9:30,258.6,8.92,37.87,77.1
